question,option_a,option_b,option_c,option_d,correct_option,topic,difficulty,explanation
"What is the optimal substructure relation for the 0/1 Knapsack Problem with capacity W and items (w_i, v_i)?","dp[i][w] = max(dp[i-1][w], v_i + dp[i-1][w - w_i])","dp[i][w] = min(dp[i-1][w], v_i + dp[i-1][w - w_i])","dp[i][w] = dp[i-1][w] + dp[i][w - w_i]","dp[i][w] = max(dp[i][w-1], dp[i-1][w])","A","DSA","Medium","For each item i, we either exclude it (dp[i-1][w]) or include it if w >= w_i (v_i + dp[i-1][w - w_i]), taking the maximum."
"In a min-heap with n elements represented as an array (1-based index), where is the left child of node i located?","2i - 1","2i","2i + 1","i / 2","B","DSA","Easy","In standard 1-based binary heap indexing, the left child of node i is at 2i and the right child is at 2i + 1."
"What is the time complexity of the Disjoint Set Union (DSU) Find operation when both Union by Rank and Path Compression are used?","O(log n)","O(n)","O(alpha(n)) (Inverse Ackermann)","O(1) strict worst-case","C","DSA","Hard","Combining path compression and union by rank yields an amortized time complexity of O(alpha(n)) per operation, where alpha is the extremely slow-growing inverse Ackermann function."
"Which of the following problems is known to be NP-Complete?","Shortest Path in Directed Graph with non-negative weights","Minimum Spanning Tree","Eulerian Circuit existence","0/1 Knapsack Decision Problem","D","DSA","Medium","The 0/1 Knapsack decision problem is NP-Complete (solvable in pseudo-polynomial time via dynamic programming)."
"What is the recurrence relation for the Merge Sort algorithm on an input of size n?","T(n) = 2T(n/2) + O(n)","T(n) = T(n-1) + O(n)","T(n) = 2T(n/2) + O(1)","T(n) = T(n/2) + O(n)","A","DSA","Easy","Merge Sort divides the array into 2 halves (2T(n/2)) and merges them in linear time (O(n))."
"How many swaps are required to sort the array [4, 3, 2, 1] using Selection Sort?","2","3","6","4","A","DSA","Medium","Step 1: swap index 0 and 3 -> [1, 3, 2, 4]. Step 2: swap index 1 and 2 -> [1, 2, 3, 4]. Total swaps = 2."
"In a Red-Black Tree, every path from the root to any descendant leaf node contains the same number of:","Red nodes","Black nodes","Total nodes","Leaf nodes","B","DSA","Medium","Property 5 of Red-Black Trees states that all paths from any node to its descendant leaves must contain the exact same number of black nodes (black-height)."
"What is the space complexity of Depth First Search (DFS) on a tree of height h with maximum branching factor b?","O(b^h)","O(h)","O(b * h)","O(1)","B","DSA","Medium","The call stack memory consumption in DFS on a tree is proportional to the maximum recursion depth, which is the height of the tree h."
"Which string matching algorithm preprocesses the pattern to compute a 'pi' (prefix) table in O(m) time?","Rabin-Karp","Knuth-Morris-Pratt (KMP)","Boyer-Moore","Aho-Corasick","B","DSA","Medium","KMP computes the longest proper prefix which is also a suffix (LPS / pi array) to avoid backtracking in the text string."
"Given an adjacency matrix of an undirected graph without self-loops, what does the sum of entries in row i represent?","Number of connected components","In-degree of vertex i minus out-degree","Degree of vertex i","Eccentricity of vertex i","C","DSA","Easy","In an unweighted adjacency matrix of an undirected graph, each 1 in row i indicates an incident edge, so the row sum equals the degree of vertex i."
"What is the time complexity to find the diameter of a binary tree in optimal single-pass post-order traversal?","O(n^2)","O(n log n)","O(n)","O(h^2)","C","DSA","Medium","By computing the subtree height and updating diameter in the same bottom-up post-order DFS, each node is visited once in O(n) total time."
"Which data structure is constructed in O(n) time using Floyd's build-heap algorithm for n items?","Binary Search Tree","Binary Heap","B-Tree","Skip List","B","DSA","Medium","Floyd's bottom-up sift-down algorithm builds a valid binary heap in linear O(n) time, as most nodes reside near the leaves requiring fewer comparisons."
"In Tarjan's bridge-finding algorithm, an edge (u, v) is a bridge if and only if:","low[v] > disc[u]","low[v] < disc[u]","disc[v] == disc[u] + 1","low[u] == low[v]","A","DSA","Hard","If low[v] > disc[u], no vertex in the subtree rooted at v has a back edge to u or any ancestor of u, meaning removing (u, v) disconnects the graph."
"What is the minimum number of queues needed to implement a FIFO queue?","0","1","2","3","B","DSA","Easy","A FIFO queue can be implemented natively with 1 queue; 2 queues are typically needed to implement a LIFO Stack."
"What is the auxiliary space complexity of Merge Sort on an array of size n?","O(1)","O(log n)","O(n)","O(n log n)","C","DSA","Easy","Standard array-based Merge Sort requires an auxiliary buffer of size n during the merge step to hold elements."
"In a Trie containing n keys of maximum length L over an alphabet of size sigma, what is the search time for a query key of length k?","O(n * L)","O(k)","O(sigma * log n)","O(k * log n)","B","DSA","Medium","Searching for a word of length k in a Trie traverses at most k edges, making search time O(k), independent of total keys n."
"Which topological sort algorithm computes in-degrees of all vertices and uses a queue of zero-in-degree nodes?","Kahn's Algorithm","Tarjan's SCC Algorithm","Dijkstra's Algorithm","Prim's Algorithm","A","DSA","Easy","Kahn's algorithm iteratively removes vertices with in-degree 0 from a queue and decrements adjacent vertices' in-degrees."
"What is the maximum number of edges in a simple bipartite graph with n vertices?","n(n-1)/2","floor(n^2 / 4)","2n","n^2 - n","B","DSA","Medium","By Turán's theorem, a bipartite graph with vertex partitions of size k and n-k maximizes edges when k = floor(n/2), giving floor(n^2 / 4) edges."
"In dynamic programming, what is the difference between Memoization and Tabulation?","Memoization is Bottom-Up; Tabulation is Top-Down","Memoization is Top-Down with caching; Tabulation is Bottom-Up iterative","Memoization uses trees; Tabulation uses hash tables","Memoization always uses less memory than Tabulation","B","DSA","Easy","Memoization stores solutions to subproblems during top-down recursion, while Tabulation iteratively fills a table from base cases up."
"What is the time complexity of Bellman-Ford algorithm on a graph with V vertices and E edges?","O(V + E)","O(V * E)","O(E log V)","O(V^3)","B","DSA","Medium","Bellman-Ford relaxes all E edges across (V - 1) iterations, resulting in an O(V * E) time complexity."
"Which OOP concept focuses on exposing only essential features while hiding internal implementation details?","Polymorphism","Abstraction","Inheritance","Association","B","OOPS","Easy","Abstraction isolates the external contract from the internal mechanics, providing a clean interface to users."
"What design pattern ensures a class has only one instance and provides a global point of access to it?","Factory Pattern","Singleton Pattern","Observer Pattern","Decorator Pattern","B","OOPS","Easy","Singleton restricts instantiation of a class to a single object and controls shared access."
"In C++, dynamic dispatch (runtime polymorphism) is achieved through which mechanism?","Virtual Function Table (vtable)","Friend Functions","Inline Functions","Template Specialization","A","OOPS","Medium","The compiler constructs a vtable storing pointers to virtual member functions, resolved at runtime using the object's vptr."
"What does the 'L' stand for in the SOLID object-oriented design principles?","Linear Execution Principle","Liskov Substitution Principle","Lazy Loading Principle","Loose Coupling Principle","B","OOPS","Easy","Liskov Substitution Principle states that subtypes must be substitutable for their base types without altering correctness."
"Which of the following describes Method Overloading?","Same method name, different parameter lists in the same class","Same method name and parameters in subclass overriding superclass","Method defined in interface without body","Changing method return type without changing arguments","A","OOPS","Easy","Method overloading is compile-time polymorphism where methods share the same name but differ in parameter count or types."
"What is the 'Diamond Problem' in object-oriented programming?","A class having four private constructors","Ambiguity when two parent classes inherit from the same ancestor and a child inherits from both","Memory leak caused by circular references in smart pointers","Failure to garbage collect singleton instances","B","OOPS","Medium","When class D inherits from B and C, both inheriting from A, D has multiple conflicting copies or paths to A's members unless virtual inheritance is used."
"Which relationship is best described by: 'A Car HAS-A Engine, and the Engine cannot exist independently if the Car is destroyed'?","Aggregation","Composition","Generalization","Dependency Injection","B","OOPS","Medium","Composition is a strict form of 'has-a' association where the component's lifecycle is bound to the owner's lifecycle."
"Which design pattern is best suited for attaching additional responsibilities to an object dynamically without modifying its class?","Decorator Pattern","Adapter Pattern","Proxy Pattern","Strategy Pattern","A","OOPS","Medium","Decorator wraps an object in another class implementing the same interface to augment functionality transparently."
"What does the Dependency Inversion Principle (the 'D' in SOLID) dictate?","Classes should depend on concrete implementations, not abstractions","High-level modules should not depend on low-level modules; both should depend on abstractions","Subclasses must invert parent class state","Constructors must always instantiate all dependencies directly","B","OOPS","Medium","DIP promotes loose coupling by ensuring high-level policy code depends on abstract contracts rather than fragile low-level details."
"In C++, why should a base class destructor almost always be declared 'virtual'?","To prevent child classes from defining destructors","To ensure the derived class destructor is called when deleting via a base pointer","To speed up heap deallocation","To allow the destructor to accept parameters","B","OOPS","Medium","Without a virtual destructor, deleting a derived object through a base pointer causes undefined behavior and leaks derived resources."
"Which design pattern defines a family of algorithms, encapsulates each one, and makes them interchangeable at runtime?","Observer Pattern","Command Pattern","Strategy Pattern","Template Method Pattern","C","OOPS","Easy","Strategy pattern enables client code to choose and swap algorithmic strategies dynamically based on context."
"What is an abstract class in object-oriented programming?","A class that cannot have any member variables","A class that cannot be directly instantiated and contains at least one abstract method","A class that is automatically marked final","A class whose methods can only be invoked statically","B","OOPS","Easy","Abstract classes serve as blueprints for derived classes and cannot be instantiated directly on their own."
"What is the primary difference between an Interface and an Abstract Class in traditional OOP?","Interfaces can instantiate objects, abstract classes cannot","A class can implement multiple interfaces, but typically inherit from only one abstract class","Interfaces cannot contain method signatures","Abstract classes can never have concrete method implementations","B","OOPS","Easy","Languages like Java and C# permit multiple interface implementation but enforce single class inheritance."
"Which design pattern decouples an abstraction from its implementation so that the two can vary independently?","Bridge Pattern","Flyweight Pattern","Facade Pattern","Prototype Pattern","A","OOPS","Hard","The Bridge pattern replaces inheritance with object composition to prevent exponential class explosion across two orthogonal dimensions."
"What is encapsulation primarily intended to protect against?","Slow runtime execution","Direct, unauthorized modification of an object's internal state","Compiler optimization passes","Overriding virtual functions","B","OOPS","Easy","Encapsulation bundles data with accessor methods and hides representation to maintain valid object invariants."
"What is the Open-Closed Principle (the 'O' in SOLID)?","Software entities should be open for modification, but closed for extension","Software entities should be open for extension, but closed for modification","Files must be closed immediately after opening","Methods must only accept open generic types","B","OOPS","Easy","OCP states you should be able to extend class behavior without altering its existing source code."
"In the Observer design pattern, what is the role of the Subject?","It maintains a list of observers and notifies them automatically of state changes","It transforms JSON requests into XML","It acts as a caching layer between database and controller","It limits client connections to a single thread","A","OOPS","Easy","The Subject tracks registered listeners (observers) and broadcasts notifications whenever its state changes."
"What is covariance of return types in method overriding?","An overriding method may return a subtype of the return type declared in the base method","An overriding method must return void","Return types must be converted to generic wildcards","Overriding methods must return an array of objects","A","OOPS","Medium","Covariant return types allow a subclass to narrow the returned object type to a more specific subclass."
"Which Gang of Four pattern is used to reduce memory footprint by sharing common state among large numbers of fine-grained objects?","Flyweight Pattern","Memento Pattern","Interpreter Pattern","State Pattern","A","OOPS","Medium","Flyweight separates intrinsic (shared, immutable) state from extrinsic (contextual) state to save memory."
"What design pattern converts the interface of a class into another interface that clients expect?","Adapter Pattern","Builder Pattern","Chain of Responsibility","Mediator Pattern","A","OOPS","Easy","Adapter acts as a wrapper that translates incompatible interfaces between components."
"What is an anti-pattern known as 'God Object'?","An object that creates databases dynamically","A class that knows or does too much, centralizing most system responsibilities","An object that cannot be instantiated","An immutable singleton object","B","OOPS","Easy","The God Object violates Single Responsibility by aggregating excessive state and business logic into a single monolithic class."
"In C++, what does an explicit constructor prevent?","Inheritance by derived classes","Implicit conversions and copy-initialization from argument types","Destruction when exiting scope","Stack allocation","B","OOPS","Medium","Marking a single-argument constructor explicit disallows unintended implicit type coercion by the compiler."
"What is the purpose of the Factory Method pattern?","To instantiate objects without exposing the exact instantiation logic to the client","To serialize objects into binary format","To create an infinite pool of database threads","To monitor CPU utilization across classes","A","OOPS","Easy","Factory Method delegates object creation to subclass implementations through a common interface."
"What is the difference between static binding and dynamic binding?","Static occurs at compile time; Dynamic occurs at runtime","Static is for heap memory; Dynamic is for stack memory","Static binding only works in Python","Dynamic binding is faster than static binding","A","OOPS","Easy","Static binding links function calls at compile time (early binding), while dynamic binding resolves them at execution based on dynamic type."
"Which principle of SOLID is violated if an interface has 40 methods and implementing classes only use 2 of them?","Single Responsibility Principle","Interface Segregation Principle","Liskov Substitution Principle","Open-Closed Principle","B","OOPS","Easy","ISP states that clients should never be forced to depend upon interfaces containing methods they do not consume."
"What does the 'I' in the ACID transaction properties stand for?","Inheritance","Isolation","Integrity","Idempotency","B","DBMS","Easy","ACID stands for Atomicity, Consistency, Isolation, and Durability."
"Which normal form requires the removal of transitive dependencies for non-prime attributes?","First Normal Form (1NF)","Second Normal Form (2NF)","Third Normal Form (3NF)","Boyce-Codd Normal Form (BCNF)","C","DBMS","Easy","3NF builds on 2NF by eliminating transitive dependencies (X -> Y and Y -> Z where Z is non-prime)."
"Which SQL clause is used to filter aggregated grouped rows produced by the GROUP BY clause?","WHERE","HAVING","ORDER BY","LIMIT","B","DBMS","Easy","WHERE filters rows before aggregation, while HAVING filters the post-aggregation summary groups."
"In database concurrency control, what is a 'Dirty Read' anomaly?","A transaction reads uncommitted changes made by another concurrent transaction","A transaction re-reads data and finds it has been deleted","Two transactions overwrite each other's data simultaneously","A query fails due to disk sector corruption","A","DBMS","Medium","Dirty read occurs at Read Uncommitted isolation when transaction A inspects uncommitted updates from transaction B that may later be rolled back."
"What is the primary difference between a B-Tree and a B+ Tree index structure?","B-Trees have faster range scans than B+ Trees","In a B+ Tree, data pointers are exclusively stored in leaf nodes and leaves are linked sequentially","B+ Trees can only store integer keys","B-Trees are strictly binary trees","B","DBMS","Medium","B+ trees store all actual records/pointers in leaf nodes connected by a linked list, enabling rapid contiguous range scans."
"Which isolation level prevents Dirty Reads and Non-Repeatable Reads, but still allows Phantom Reads in SQL standard?","Read Uncommitted","Read Committed","Repeatable Read","Serializable","C","DBMS","Medium","Repeatable Read locks accessed rows to prevent modification, but may allow new rows matching a range predicate (phantoms) unless table/predicate locks are held."
"What type of join returns all matching records from both tables plus all unmatched rows from the left table?","INNER JOIN","LEFT OUTER JOIN","CROSS JOIN","FULL OUTER JOIN","B","DBMS","Easy","LEFT OUTER JOIN keeps all rows from the left relation, substituting NULLs for non-matching attributes from the right relation."
"In Two-Phase Locking (2PL), what characterizes the 'Shrinking Phase'?","Transactions can acquire new locks but cannot release any","Transactions can release existing locks but cannot acquire any new locks","Transactions delete uncommitted log records","Database engine compresses index pages","B","DBMS","Medium","2PL guarantees serializability by requiring that once a transaction releases any lock (shrinking), it may never obtain further locks."
"What does the Write-Ahead Logging (WAL) protocol mandate in transactional databases?","Log records must be written to stable storage before corresponding dirty data pages are flushed to disk","Queries must be logged before they are parsed by the SQL engine","Indexes must be rebuilt before transactions commit","Data must be replicated to a secondary node before logging","A","DBMS","Medium","WAL guarantees Atomicity and Durability by ensuring changes are durable in the sequential log prior to modifying table pages."
"Which relation property defines Boyce-Codd Normal Form (BCNF)?","Every functional dependency X -> Y requires X to be a superkey","Every attribute must be a prime attribute","Multivalued dependencies must not exist","Join dependencies must be trivial","A","DBMS","Medium","BCNF is stricter than 3NF: for every non-trivial functional dependency X -> Y, X must be a candidate key or superkey."
"What is the result of the SQL expression: SELECT NULL = NULL;","TRUE","FALSE","NULL / UNKNOWN","SYNTAX ERROR","C","DBMS","Medium","SQL uses three-valued logic (3VL). Comparisons with NULL evaluate to UNKNOWN/NULL; 'IS NULL' must be used instead."
"What is a clustered index in a relational database management system?","An index built across multiple distinct servers","An index whose physical storage order dictates the physical order of table rows","An index that only indexes foreign keys","A temporary hash table generated during a query","B","DBMS","Medium","Because table rows can only be ordered physically in one way on disk, there can be at most one clustered index per table."
"Which SQL constraint enforces referential integrity between two related tables?","PRIMARY KEY","UNIQUE","FOREIGN KEY","CHECK","C","DBMS","Easy","A FOREIGN KEY references a PRIMARY KEY or UNIQUE key in a parent table to ensure child records point to valid parents."
"In SQL, what is the key difference between DELETE and TRUNCATE?","TRUNCATE can be filtered with a WHERE clause, DELETE cannot","TRUNCATE is a DDL operation that deallocates data pages and does not fire individual row-level triggers","DELETE drops the table schema from the database","TRUNCATE is much slower than DELETE on large tables","B","DBMS","Medium","TRUNCATE resets storage extents rapidly as a DDL command without logging each deleted row or invoking row triggers."
"What does the CAP theorem state regarding distributed data stores?","A system can achieve Consistency, Availability, and Partition Tolerance simultaneously","In the presence of a network partition, a system must choose between Consistency and Availability","Concurrency and Performance cannot co-exist with ACID","Cache access always supersedes primary storage","B","DBMS","Medium","CAP theorem asserts that when network partitions occur (P), a distributed system can either guarantee Consistency (CP) or Availability (AP)."
"What is an index scan that retrieves all required columns directly from the index without inspecting base table pages called?","Index Range Scan","Covering Index (Index-Only Scan)","Bitmap Index Scan","Sequential Table Scan","B","DBMS","Medium","A covering index includes all columns referenced by the query (SELECT, WHERE, ORDER BY), avoiding table heap lookups entirely."
"Which SQL operator checks for the presence of rows returned by a correlated subquery?","IN","EXISTS","BETWEEN","LIKE","B","DBMS","Easy","EXISTS evaluates to TRUE as soon as the inner subquery produces at least one matching row, short-circuiting execution."
"In relational algebra, which operator corresponds to selecting specific columns from a relation?","Selection (sigma)","Projection (pi)","Cartesian Product (x)","Join (bowtie)","B","DBMS","Easy","Projection (pi) extracts vertical subsets (columns), whereas Selection (sigma) extracts horizontal subsets (rows)."
"What is the purpose of an SQL SAVEPOINT?","To write an automated backup to cloud storage","To establish a rollback point within a transaction without aborting the entire transaction","To permanently lock a table from writes","To commit a transaction asynchronously","B","DBMS","Easy","SAVEPOINT marks an intermediate milestone inside a transaction, allowing partial rollback via ROLLBACK TO SAVEPOINT."
"What is a 'Phantom Read' anomaly?","A query re-executes and discovers new rows inserted by another committed transaction matching its search filter","A transaction reads uncommitted cached pages","A read locks out all subsequent read requests","Memory corruption in database shared buffers","A","DBMS","Medium","Phantom read occurs when a transaction queries a range of rows twice and notices that another transaction inserted new matching records."
"Which SQL window function assigns sequential rank numbers without skipping subsequent ranks when ties occur?","RANK()","DENSE_RANK()","ROW_NUMBER()","NTILE()","B","DBMS","Medium","DENSE_RANK() assigns consecutive integer ranks without gaps (e.g. 1, 2, 2, 3), whereas RANK() skips values after ties (1, 2, 2, 4)."
"In database recovery, what does the ARIES protocol execute during its three recovery phases?","Validation, Compilation, Optimization","Analysis, Redo, Undo","Backup, Restore, Checksum","Acquisition, Verification, Commit","B","DBMS","Hard","ARIES operates in three distinct phases: Analysis (determines system state at crash), Redo (repeats history), and Undo (rolls back active transactions)."
"What is the primary trade-off of adding multiple indexes to an OLTP database table?","Queries become slower","Read performance increases, but INSERT, UPDATE, and DELETE operations become slower","Primary keys are automatically invalidated","Transactions lose isolation guarantees","B","DBMS","Easy","Each write operation must update every relevant B-tree index on the table, increasing write latency and storage overhead."
"What is an autonomous or independent transaction in SQL DBMS?","A transaction executed entirely on client memory","A sub-transaction that can commit or roll back independently of the calling parent transaction","A query that executes without acquiring locks","A transaction that bypasses write-ahead logging","B","DBMS","Hard","Autonomous transactions pause the parent transaction context to execute and commit isolated operations (e.g., audit logging) regardless of parent outcome."
"Which of the following describes a Natural Join between relations R and S?","Equi-join on all attributes that have the same name in both relations, eliminating duplicate columns","Cartesian product without any conditional filtering","Theta-join using less-than comparisons","Outer join retaining unmatched rows from both tables","A","DBMS","Medium","Natural join automatically equates columns with matching names in both tables and projects only one instance of each common column."
"In C, what is the output of printf('%d', sizeof('a')); on a standard 32/64-bit architecture?","1","4 (or sizeof(int))","2","8","B","C/C++","Medium","In C, character constants like 'a' have type int, making their sizeof equal to sizeof(int) (usually 4 bytes). In C++, their type is char (1 byte)."
"What does the 'volatile' keyword signify to the C/C++ compiler?","The variable should be stored in CPU registers for fast access","The variable can be modified unexpectedly by external hardware or threads, preventing compiler optimization","The variable is constant and cannot be modified","The variable's memory should be allocated on the heap","B","C/C++","Medium","volatile tells the optimizer not to cache the variable's value in a register because it may change asynchronously outside program control."
"In C++, which smart pointer maintains an atomic reference count and deletes the managed object when the count drops to zero?","std::unique_ptr","std::shared_ptr","std::weak_ptr","std::auto_ptr","B","C/C++","Easy","std::shared_ptr uses a control block with reference count to share ownership of a dynamically allocated resource safely."
"What happens when free() is called twice on the same memory pointer in C?","Nothing, the second call is ignored","Undefined Behavior (Double Free vulnerability / crash)","Memory is allocated back to the program","Segmentation fault is guaranteed to be handled by libc","B","C/C++","Easy","Calling free() twice on the same address corrupts the internal heap manager structures, triggering undefined behavior."
"In C++, what is RAII (Resource Acquisition Is Initialization)?","A compiler flag to enable multithreading","An idiom where resource lifecycle is bound to object lifetime via constructor acquisition and destructor release","A template library for linear algebra","A dynamic memory garbage collector","B","C/C++","Medium","RAII guarantees exception safety and prevents leaks by freeing held locks, file descriptors, and heap memory when the wrapper object leaves scope."
"Consider: int arr[5] = {1, 2, 3, 4, 5}; What is the type of &arr?","int*","int**","int (*)[5] (pointer to array of 5 ints)","int[]","C","C/C++","Hard","While arr decays to int* (pointer to first element), &arr produces a pointer to the entire array of 5 integers: int (*)[5]."
"What is the difference between malloc() and calloc() in C?","malloc initializes allocated memory to zero; calloc leaves it uninitialized","calloc allocates memory and zeroes all bits; malloc leaves memory uninitialized","calloc allocates memory on the stack; malloc allocates on the heap","malloc can only allocate single-byte buffers","B","C/C++","Easy","calloc(n, size) initializes all allocated bytes to zero, whereas malloc(size) returns uninitialized garbage data."
"In modern C++ (C++11 and later), what does std::move() actually do?","It physically copies memory bytes to a new location","It performs an unconditional cast of its argument to an rvalue reference","It deallocates the source object immediately","It spawns a background thread to transfer data","B","C/C++","Medium","std::move does not move anything at runtime; it merely casts an lvalue expression into an rvalue reference (T&&) to enable move semantics."
"What is a 'dangling pointer' in C?","A pointer that has not been initialized","A pointer pointing to a memory location that has already been deallocated or freed","A pointer with value NULL","A void* pointer that cannot be dereferenced","B","C/C++","Easy","A dangling pointer still points to an address whose associated resource has already been reclaimed or expired."
"In C++, what is the effect of declaring a member function with '= 0' (e.g., virtual void draw() = 0;)?","It returns 0 by default","It makes the function a pure virtual function and the class an abstract class","It resets the function pointer after execution","It restricts the function to be called at most zero times","B","C/C++","Easy","A pure virtual function has no definition in the base class (unless explicitly provided out-of-line) and requires concrete derived classes to implement it."
"What will happen in C if you attempt to modify a string literal: char *s = 'Hello'; s[0] = 'h';?","The string becomes 'hello' successfully","Undefined behavior / segmentation fault (string literals reside in read-only memory)","Compile-time error only","s points to a new dynamically allocated string","B","C/C++","Medium","String literals are stored in read-only memory sections (.rodata). Writing to them invokes undefined behavior and typically causes a segmentation fault."
"What is the memory overhead of a virtual function table pointer (vptr) in a 64-bit C++ object?","4 bytes","8 bytes","16 bytes","Zero overhead","B","C/C++","Medium","On a 64-bit architecture, each pointer occupies 8 bytes, so storing the vptr adds 8 bytes to the object size."
"Which operator cannot be overloaded in C++?","+","[]",":: (scope resolution operator)","->","C","C/C++","Easy","Operators that cannot be overloaded in C++ include ::, ., .*, and ?: (ternary conditional)."
"In C, what is the purpose of the 'static' specifier when applied to a global variable?","It allocates the variable on the thread-local stack","It restricts the visibility/linkage of the variable to the translation unit (.c file) in which it is defined","It makes the variable constant","It forces the variable to be initialized to -1","B","C/C++","Medium","A static global variable has internal linkage, preventing other source files from accessing it using extern."
"What does std::weak_ptr solve in C++?","Memory alignment issues","Circular reference cycles that prevent std::shared_ptr from deallocating memory","Stack overflow in deep recursion","Slow dynamic_cast performance","B","C/C++","Medium","weak_ptr holds a non-owning reference to an object managed by shared_ptr, breaking reference cycles that would cause memory leaks."
"What is the return type of the expression (a > b ? a : b) in C++ when a and b are lvalues of type int?","int (rvalue)","int& (lvalue reference)","const int*","void","B","C/C++","Hard","In C++, if the second and third operands of the ternary operator are lvalues of the same type, the result is an lvalue reference (int&), allowing assignments like (a > b ? a : b) = 10;."
"What does the C standard library function setjmp()/longjmp() provide?","Dynamic array resizing","Non-local jumps / low-level exception-like control transfer","Thread synchronization primitives","High-precision timer counters","B","C/C++","Hard","setjmp saves the current execution context in a jmp_buf, and longjmp restores that context to jump across function stack boundaries."
"What does 'extern 'C'' do when compiling C++ code?","Enforces C++ name mangling","Instructs the C++ compiler to use C linkage conventions (no name mangling) for specified declarations","Compiles the code using the C99 standard","Disables standard library headers","B","C/C++","Medium","extern 'C' suppresses C++ function name mangling, allowing C++ code to link cleanly against compiled C libraries."
"What is structure padding in C?","Adding comments to clarify struct layouts","Compiler inserting unused bytes between struct members to align them to natural memory boundaries","Encrypting structure data before network transmission","Allocating extra memory for dynamic expansion","B","C/C++","Medium","CPUs access memory faster when data types are aligned to multiples of their size; compilers insert alignment padding bytes automatically."
"In C++20, what is a Concept?","A new smart pointer for graphics pipelines","A compile-time predicate that constrains template arguments","A replacement for virtual function tables","An asynchronous coroutine scheduler","B","C/C++","Medium","Concepts allow template authors to enforce requirements on template parameters at compile-time with clear error diagnostics."
"In Java, what is the difference between String, StringBuilder, and StringBuffer?","String is mutable; StringBuilder is thread-safe; StringBuffer is non-thread-safe","String is immutable; StringBuilder is mutable and not thread-safe; StringBuffer is mutable and thread-safe (synchronized)","StringBuilder allocates on the stack; StringBuffer allocates on the heap","All three are completely identical in memory and concurrency behavior","B","Java","Easy","String objects are immutable; StringBuilder provides fast unsynchronized string mutations, and StringBuffer synchronizes methods for thread safety."
"What is the contract between equals() and hashCode() in Java?","If two objects have the same hashCode(), they must be equal via equals()","If two objects are equal according to equals(), they must produce the same hashCode()","hashCode() must return a distinct integer for every unique object instance","There is no formal relationship between equals() and hashCode()","B","Java","Medium","Java specifications mandate that if a.equals(b) is true, then a.hashCode() == b.hashCode() must also evaluate to true for hash structures to work."
"Which Garbage Collector in modern Java aims for ultra-low pause times (under 1ms) regardless of heap size?","Serial GC","Parallel GC","ZGC (Z Garbage Collector)","CMS (Concurrent Mark Sweep)","C","Java","Medium","ZGC performs almost all its work concurrently with colored pointers and load barriers to achieve sub-millisecond maximum pause times."
